audio,1,2,3,4,5,6,7,8,9,10,11,12,13,lbl
4765.000000,112.731888,38.016052,8.016850,10.038496,3.276912,3.240094,-1.896193,0.586128,-6.564502,-2.560026,-6.927157,-1.501917,-2.081517,0.000000
4765.000000,129.451309,37.089973,6.912318,3.923944,-2.274354,4.951548,-0.307717,-0.596999,-7.745212,-4.464064,-5.437006,-2.471383,-1.792282,0.000000
4765.000000,137.272308,35.269974,6.351255,3.619191,-3.633705,6.531964,1.911745,-1.382279,-7.716708,-1.029149,-3.209744,-2.240849,-5.516756,0.000000
4765.000000,137.495758,38.452705,6.923625,7.408874,0.343039,7.566167,-1.730646,-2.333186,-5.823445,-0.052009,-3.700310,-1.270252,-7.993061,0.000000
4765.000000,136.239182,37.934734,8.306646,9.935081,2.635143,5.670130,-3.125097,-1.049049,-5.776758,-4.215709,-4.666893,0.408821,-6.814790,0.000000
4765.000000,137.589264,36.215504,4.333957,8.963588,1.385687,4.828450,-0.710990,1.371585,-5.853719,-3.025373,-5.743686,1.416938,-4.980867,0.000000
4765.000000,138.887802,37.597267,3.897734,6.630426,1.173105,4.711602,-0.209343,0.139770,-9.407221,-3.107929,-7.296543,-1.638924,-5.840552,0.000000
4765.000000,141.924820,36.963070,4.289806,4.308190,1.233518,4.112127,-1.736116,0.270279,-7.623510,0.164251,-2.784642,0.972808,-3.654794,0.000000
4765.000000,140.116531,38.345638,4.367952,5.318184,1.065150,6.695469,1.131925,2.331177,-5.400939,-2.797305,-3.309619,3.845723,-4.136430,0.000000
4765.000000,138.066177,37.238613,7.761109,8.586926,-1.334179,6.763909,3.757381,1.837040,-4.697524,-3.544008,-5.213099,2.401519,-3.964502,0.000000
4765.000000,139.629059,37.337307,6.880367,10.209457,1.250393,7.174570,2.118747,0.039583,-3.043244,-1.055830,-5.055848,2.240028,-3.988836,0.000000
4765.000000,138.788956,39.490166,5.637625,6.364773,1.381050,7.030391,0.315852,0.614349,-1.695884,-3.111816,-4.238010,2.839605,-7.002792,0.000000
4765.000000,138.670654,38.333946,7.057541,2.961142,-1.180260,4.653498,-2.815521,0.813615,-5.783835,-1.542495,-4.609727,3.844814,-4.252652,0.000000
4765.000000,136.641190,36.565613,7.231914,5.856207,-0.211804,3.942316,-1.104722,0.137312,-7.511390,-0.232414,-6.313774,0.320377,-1.620831,0.000000
4765.000000,136.824036,38.542038,6.806159,5.448871,1.343169,5.419846,-0.298912,-3.138262,-6.152497,-1.678841,-5.565547,-1.618832,-0.784119,0.000000
4765.000000,141.020096,37.971649,5.164781,6.740989,1.684767,4.007022,1.085914,-0.160848,-5.333982,-5.041355,-3.182669,2.332584,-3.839580,0.000000
4765.000000,136.600891,39.123940,5.994335,7.636157,0.098146,1.007064,-0.330139,-1.805862,-6.558332,-2.651728,-0.627225,4.411254,-3.600806,0.000000
4765.000000,135.114563,38.068577,5.034742,6.771803,-1.024976,0.205318,-2.343688,0.308627,-9.368391,-2.145614,-0.547822,2.705322,-6.215666,0.000000
4765.000000,138.186935,35.206200,5.141815,6.380793,-2.679914,3.498002,0.175164,0.508459,-8.671029,-2.537576,-2.301612,0.989885,-8.086020,0.000000
4765.000000,142.435547,39.223015,4.564512,5.134080,-2.681623,6.416512,-0.466216,-3.701500,-7.410892,-1.781342,-1.854960,0.270839,-4.368678,0.000000
4765.000000,138.321167,38.082268,6.953988,10.017619,0.597671,6.343606,-2.383002,-3.499015,-6.695711,-3.279473,-4.459936,-0.281432,-2.751320,0.000000
4765.000000,134.652542,38.565563,8.217150,12.481973,4.128530,6.255422,-0.936223,-1.491007,-2.990407,-3.425149,-5.954807,1.704856,-3.929094,0.000000
4765.000000,137.110992,37.718361,9.279679,8.332613,-0.833052,5.557152,0.025800,-1.655129,-4.328703,-4.515843,-6.133363,0.306881,-5.355435,0.000000
4765.000000,139.215118,37.266563,7.697726,6.937850,-0.000393,3.248915,-1.001991,-2.013460,-7.437510,-6.737055,-6.613122,1.216293,-2.591962,0.000000
